text,cluster
"this dish appeals to all ages. the slices hold their shape and taste great at room temperature -- making them perfect for make-ahead dinners, lunch boxes or potlucks. when sliced in small squares, they make great finger food, too. created for rsc#11, and definitely a dish i'll make often in the future.",6
bartender.com recipe,4
cookies that taste great and smell heavenly while baking,2
serve this with crusty italian bread to soak up the sauce.,3
this recipe was given to me at my bridal shower by my sister-in-law.  we love this!,4
i use the lean jimmy deans sausage and don't even have to drain away any grease. this is my own creation. very easy and so delicious.,3
i made twice baked potatoes and added stuff.,2
"be sure to use clear full flavored broth. personally i like to add the carrots & mushrooms into the bowl of steaming broth without simmering them first , personal preference. this is such an attractive, easy to make, light soup that is just perfect for the start of an oriental meal or with any meal. substitute strands of cooked chicken instead of the seafood. see footnore at bottom of recipe for clarifying broth",1
"""ready, set, cook! hidden valley contest entry"" a zesty caribbean style shrimp and pasta makes an easy delicious meal and guaranteed to warm you heart and soul.",3
this beats the hell out of regular scrambled eggs. i have my boyfriend's family to thank for this one. adjust the amount of cheese and jalapenos to your taste.,3
"here's another chilled soup from *the carnival experience* cookbook by peter leypold (exec chef of carnival cruise lines) that i did not try, but it is both unusual & intriguing. although we don't really have any of them here in iceland, doesn't this look like it would be perfect on a hot summer evening? (times were not given, have been estimated & the chill time is not included as it may vary according to your needs) *enjoy* !",3
"an alternative to deviled eggs, these are stuffed with a cheddar cheese mixture. taken from ""the complete family cook book"".",2
from madhur jaffrey's world vegetarian,0
"my mom was a campfire girl from bluebirds until adulthood, when she was a summer camp counselor for several years. on some of those bluebird overnights, they used to make this simple version of ",0
"a lively, tongue-tingling dish!",6
"this is a easy, one dish recipe for camping!  from the 'dutch oven and outdoor cooking' cookbook by larry and jeanie walker.  can use white or yellow cake mix, but i recommend yellow.",2
"i just love casseroles. mixed this up tonight after getting tired of the bag of left over stuffing mix in the pantry. it was very good and mike said i should make it like this from now on. wish i could think of a better name for it. feel free to use light sour cream and low fat cream soup as they do work well in casseroles. i love the mixed veggies 'cause i like the addition of the potatoes and lima beans and think the extra veggies round out the dish, but feel free to use whatever veggies you like best. i didn't have any in the house but if you happen to have some mushrooms on hand they would probably also be very good in this. since they weren't in the origional creation i decided that it wouldn't be right to place them as an ingredient but just a suggestion. you could use canned mushrooms or cook up fresh sliced ones with the meat and onions.",6
"this is a very yummy, very versatile sandwich.  i love lettuce leaves on my sandwich, but i don't tend to buy lettuce by the head or bunch because i can't eat it fast enough before it goes bad.  sometimes i'll use the leaves from prepackaged lettuces or salad mixes.  but all that aside, i love bell peppers; green, red, yellow, and orange.  this sandwich was inspired by my hunger, what i had on hand, and my love of bell peppers.  (at subway, i'll have them add green peppers to my sub along with my other fixings.  so i decided, duh, why not at home too?)  i hope you enjoy this as much as i did.  feel free, thoiugh to mix and match other lunch meats, veggies and bread.  since this was what i had on hand, this is what i used.",7
"i really enjoy making bread in the colder months. this loaf is one that i have played with a lot and it works no matter what i do to it. i have added nuts, vanilla, cinnamon/ginger, changed the apples to dried cherries( non sugared). i have used applebutter in place of applesauce and trimmed down the honey. well, you get the idea. 8"" cake pans are the perfect thing for baking this bread. it will make 3 loaves.",2
"believe it or not i'm a chimichanga virgin [so to speak], but after having my first chicken chimichanga at a wonderful mexican restaurant in san diego, i found the original of this vegetarian one [for my son & his wife] which i've managed to tweek a little!",1
this recipe was given to me by a knitting exchange partner and i just love it! it's really easy and quite delicious!,4
"fannie farmer says: ""only firm, tart cooking apples bake well.""",0
this is an easy and tasty one-dish meal.  i usually have all the ingredients on hand.  you can also play around with the ingredients you have.  enjoy!,4
"this sounds unusual, but i always loved putting boiled eggs in my tuna, so i just turned it inside out. since there are no egg yolks, it is better for the cholesteral. it is also super high in protein. did i also say, it is delicious.",1
this is a delicious dish to serve warm or at room temp. its a nice way to dress up any meal! it can easily be halved or doubled! this is even great to serve as a meal for people who dont like large meals :-),6
this recipe is amazingly wonderful! another one from dad's own cookbook - highly reccomended for beginer cooks. i make it for christmas tins and have trouble staying out of them myself - super yummy!,4
my auntie anne made this at a summer gathering and i was hooked.  the broiled feta really takes this pasta salad/dish over the top!,7
excellent microwave recipe - keeps the kitchen cool. uses fresh green beans!,6
you can make these easily at home by using a package of ravioli. we like to use other types of ravioli for this dish. from copykat.com (http://www.copykat.com),3
from the best slow and easy recipes.,4
taken on drinksmixer.com,0
"the black beans in this pie are well hidden! i used light cream cheese
and fat fee sour cream. we enjoyed it with some salsa and a dollop of
sour cream.",2
"a friend made this for our book club and it was addicting. i immediately asked for the recipe and have enjoyed it since. it's really different and makes a nice appetizer to serve with wine, etc. all amounts are approx.",4
your guests will love this easy but tasty appetizer cracker spread. can be made ahead and kept refrigerated. just bake (may need a few extra minutes of baking if cold from the frig) and serve with ice cold beer or your favorite cocktails.,6
"this is the recipe i use for my cracker jack popcorn...i use this also now to fix any microwave corn that i haven't really enjoyed...(like cinnabon and kettle corn,,) fixed it fine..thought i had better post my recipe before after using for 20 years, i just might loose it, since the page is falling out of my book...",4
"you don't need a box! can be doubled. i have also substituted low fat milk and half and half. feel free to experiment with milk substitutes if you like. the corn starch really ""sets"" this pudding.",5
charoset is used at the passover seder. this recipe originally is found in the ,4
"i got this recipe from the san jose mercury news years ago. it originally had a salsa-like tomato sauce recipe to serve on top, but i didn't even save that part, because i like the taste of it just as it is. if you don't eat it all at the first meal, it can be refrigerated and reheated in the microwave.",3
not many ingredients and very simple to prepare but very good.,4
a delicous combination of vanilla and strawberries to enlighten your morning.,5
lovely salad that everyone loves. kids included. looks awesome served in a glass bowl.,7
"these are my favourite chicken wings from my aunt jean. we rarely have leftovers, although my mom prefers the leftovers. cook time does not include marinating. definitely marinate this for 24 hours if you can. i've done the shorter marinating time and it really does make a difference.",1
"now that it's autumn, this is the perfect chowder that will bring you comfort on those chilly days.  i think it's one of the best i've had and we enjoy it very much.  i got this recipe a few years back from a woman i used to work for.  when one of my daughters gets started on this chowder, she can't stop!",6
this is an excellent chowder recipe from a restaurant in salt lake city. it has great flavor. very much worth the effort!!,4
jaxon's is local and they make the best potato soup with green chile. the recipe is printed in the el paso junior league cookbook and there have been people to buy the cookbook for this recipe.,3
"my hubby is a big rice fan, and this is one of his favorite kinds. great for the holidays and potluck dinners.",6
what a wonderful way to start your morning! add a cup of hot tea and a fruit cup and you're all set!,5
this is from a 1990 good housekeeping magazine. i love the taste of the onions. i serve with macaroni salad or potato salad.,7
a delicious healthy alternative to traditional cheese topping.  i came up with this because i wanted a pesto type sauce for my pizza that provided more protein and less fat than traditional pesto.  also good as a sauce for pasta.,3
"a dish i created for the rsc #8. it has it all, and you just need to serve it with rice and fried plantains. i made it several times before posting it and came to the conclusion that if i replaced the scotch bonnet with a green or red chili it is still a very good dish but it loses some of the taste sensation.
i realize that it is sometimes difficult to obtain certain ingredients and that the heat of a scotch bonnet might not be to your taste, so please feel free to substitute if availability is a problem.
note that the raisins need to be soaked for several hours and this is not included in the prep time.",3
a south american distant cousin to tamales. posted in response to a recipe request.,6
"lemon flavored and moist, this cake is delicious with a topping of sweetened berries. 
from italian forever.",3
"this sounds like a speedy meal, that may also be very tasty!",6
"this is so simple and so perfect--a lovely marriage of fresh vegetables and herbs, with al dente pasta, lightly accented with butter and parmigiano.  it's thanks to the artistry of sirio maccione of le cirque.",3
i'm doing a clean-up in all my magazines and i'm posting some recipes for safe-keeping.  this one is from coup de pouce.,4
"squash is a disease fighting food. squash is high in fiber, also helps to cancer toxins away.",7
"delicious spicy roasted veggies!  the many spices are very visible in this dish.  the chickpeas are a nice addition, and harden a bit after being roasted which is a nice addition to the overall texture of this dish.",1
this is my favorite way to make tilapia.,3
a fairly quick and very tasty dish,6
"when i was first dating my husband, we went to a small restaurant in moss landing and i had this dish.  the sweet tomatoes, sour lemon and salty olives and capers are wonderful with the halibut. the chef was kind enough to list the ingredients for me. what i didn't remember exact amounts for, i improvised and it's close enough for me to what i had that day!  if you can't get good cherry tomatoes, use any tomato chopped small.  i've also subbed half the olive oil for stock when i'm feeling dietetic and that's good too.  not as good, maybe, but good!",3
"found this recipe online and made it. it tasted so yummy and i want to share it, as well as keep it with all my other recipes!
the original site http://thehappyhousewife.com/cooking/butternut-squash-soup/",4
from the another website.  this seems so different and easy. i made some changes so here they are!,0
"this is rachael ray's take on the american classic.  it's from one of her earlier cookbooks.  rachael serves this over canned biscuits (like grands!) that have been separated, placed on a baking sheet and sprinkled with a pinch of cayenne pepper or sweet paprika, then baked according to package directions.  i tried to include this in the recipe but for some reason the site will not let me list the canned biscuits.",4
this recipe i came up with myself.  i wanted to make a vegan wrap that was healthy and good for you without the use of animal products--this is what i came up with!,4
i've fallen in love with the chocolate and orange combination and wanted a brownie recipe to add to my collection. this is what i came up with. i didn't measure the zest or juice. i used half the zest of a large orange in each part and squeezed in enough orange juice to make a smooth icing.,5
"tasty, healthy way to cook haddock or any white fish. serve with crusty rolls or over rice.",1
"another version of a chicken lo mein-type dish, but with lots more veggies! the sauce is very tasty, and this dish is great eaten hot or cold. i love to take the leftovers to work with me for a healthy, filling lunch. add any of your favorite veggies; i just listed some of the ones that i used",1
"this is definitely a keeper. the aroma! wow! great with spaghetti, pizza soup or anytime!",3
"delicious, simple smoothie!  my kids favorite!",5
we had something similar to this in a restaurant called black bean hummus and this is my re-creation that everyone loves.  it's heart healthy too!,6
"this is delicious. i like to serve it in lettuce ""bowls"" for company - makes a pretty presentation. it's good as a side dish with a roasted chicken or just by itself as a light lunch or dinner with a good quality crusty bread.",7
this is such a cute appetizer or snack!,6
"this my adopted recipe. very good, i didn't have swiss cheese so i used cheddar.  i think i used about 1/2 cup. the cheese sauce turned out good, it's so fast doing everything in the microwave. the prep and cooking times are approximate.",3
"this is a great ""carb concious"" main course. the diet coke makes the salmon so tender and moist -it practically melts in your mouth and leaves you craving more!",5
"i found this recipe on the internet and it rocks!! i've tried several pasta dough recipes, but this one is amazing...this recipe will be the staple of all my pasta recipes...",4
"this is my favorite oatmeal - i'll eat it for breakfast or lunch!  very filling and super tasty with the dried cranberries, almonds and orange marmalade. be sure to add the dried cranberries right away as they rehydrate while cooking which makes them very flavorful.  if i'm not that hungry i'll reduce the oats to 1/4 cup and leave the other ingredients the same. milk can be substituted for water if desired - when we ate oatmeal as little kids it was because we were out of milk for our cereal, so i always make my oatmeal with water.... personal preference is everything!  *note: 1 tablespoon of smucker's sugar-free orange marmalade has 10 calories  ww points = 3",5
i discovered the secret to those delicious fast food banana shakes...it's easy as...pudding,5
"i have to say that for easy and fast this one takes the cake!!!  it is super simple, super good, and try it once, and there will very little left!",0
"lots of fun to make and especially eat!  i am a vegetarian, so i have substituted vegetarian ""chicken"" in this recipe and it was fabulous, but if you are a meat-eater you can use the same amount of real chicken instead with the same delicious outcome.  i also used a combination of mozzarella and cheddar cheeses because mexican cheeses aren't available to me here in england but if you would prefer monterey jack or other mexican cheeses go right ahead and use them instead.  these were soooooooo good.  enjoy!",1
"my cousin is ukranian, and makes an amazing green bean salad that is originally from georgia. not that georgia, but the one near russia. this was yet another thing i did with the 5 lb of costco organic baby green beans my husband bought.",7
from joan of arc; posted for zwt 5. i have made this before and it is decadent!,0
from our local/state sunday paper with a feature of toastry treats and the recipe is from donna hay - times are estimated.,2
"chick peas are my favorite beans.  if you like them too, you might want to try this fast and easy caribbean recipe.  altered slightly to suit my bf's preferences.  update:  original recipe called for 2 tablespoons curry powder.  i reduced that to 1 tablespoon but suggest that you add 1-3 teaspoons more, according to taste.  due to a reviewer's comment i also suggest that you add hot sauce to taste.  this is very flavorful and easy to make, i think you will like it.  ketchup adds a certain measure of sweetness.",1
"my sister carol has made these for her boys since they were little and both they and their friends loved them.  now the boys are in college, they just ""have to have"" them every halloween.... so carol sends them care packages.  (number of cookies is estimate)",2
"this easy, zesty sauce can compliment a variety of steamed vegetables such as brussels sprouts, carrots and spaghetti squash. taken from the ""quick, healthy and delicious cooking"" cookbook by bh&g.",3
"a quick and easy recipe for margaritas that is sure to please!  i have used this recipe for years....and it won me a best answer on yahoo answers about a year ago for quick and easy party margaritas.
this will serve about 10....enjoy",3
"this recipe makes me very nostalgic, as it is the one that made me fall in love with cooking when i was in college. all it took was the smell of the mushrooms and garlic sauteeing and i was hooked! this is a wonderful dish that is easily made vegan by choosing vegan veggie burgers and using a different sweetener for the honey. from the new world of eating by paula duvall.",3
"this recipe comes from a copycat recipe site.  i havn't made it yet so i don't know if it good or not.  wanted to add to my cookbooks for safe keeping.

update:  made, and it is so good, just like the restaurant sauce.  i made a double batch and keep in the fridge so anytime i want to just pull out a steak or chicken breast i have it ready to go.  next time i make this i won't add the sesame seeds to the sauce but just sprinkle on individual steaks.  since i made a double batch and only used as needed, the seeds got soggy, but it ""did"" keep very well in the fridge.",3
this is my grandmother's recipe; it is very flavorful and light. i usually refrigerate overnight.,4
"easy fresh fig recipe. can be used as appetizer, side dish, or dessert... or all three! i could eat figs three times a day, i only wish the season were longer. i changed the amount of gorgonzola for the figs, as i believe the review i recently got was right... too strong for the fig. it read 6 tablespoons before i changed it. i believe 1/2 teaspoon per fig would be better. as would less port be better.",5
"caution! you thought my recipe #68981 was hot try this!
make in well ventilated room with gloves.
naga jolokia is a chili pepper the hottest in the world. (was the hottest till they found  the trinidad scorpion moruga blend (moruga scorpion)) .  mine were orange when i picked them so i opted for orange bells. if you get red ones do use red bell peppers. if you can't find the ghost chili's just use 12 habaneros or if you dare try the scorpion!",3
"this recipe is from week 19 of my food blog, ""travel by stove."" i am attempting to cook one meal from every nation on earth, and the bahamas are my 19th stop. 

poster's note: i never use any recipes for travel by stove (this one included) that i am not reasonably certain come from traditional or authentic sources. i never add or remove ingredients from them before i post them to my blog or to food.com, even if i think the recipe might benefit from changes. in this way i can be sure i'm giving my readers a true representation of cuisine from the region.

conch fritters are served in restaurants all over the islands, so many people think of them as a big part of the bahamian tourist experience. if you can't find conch in your local market (and you probably can't), you can order a canned version online.",4
here's a healthy summer dish from the neelys.,6
we have a great chef in sydney named bill granger. this is his recipe for a hot flavourful pudding. delicious.,6
this goes fast! it can be broken into any size pieces.,0
i found this recipe in rockwell springs trout club centennial cookbook. i have made this recipe and it was received very well. it would make a good appetizer.,4
this is a quick easy meal for supper.  i have added a tomato sliced and seeded and that was really good too.  you can season the pork while sauteing but its not necessary.  of course the taste will vary depending on what barbecue sauce you use.  i like this with thick and spicy barbecue sauce.   something different and kids like to wrap their own!  i also have used chicken and it is equally just as good!,1
"this is very good. all you dill haters (and there seems to be quite a few), can leave the dill out with no ill effects. this is always well liked by all.",5
"this is an altered recipe i found online. it's great to have on the ride when you need a snack. tastes great, healthy and they're much cheaper than store-bought bars",4
"in north africa & the middle east are many variations of the humble shortbread, they all go by different names but are all very similar in taste & appearance. this turkish recipe is very similar to my favourite algerian shortbread called ghraybia. i also like to make these using 2 cups of self rising flour (omitting the baking powder) & to use a mix of 3 tbsp ghee plus margarine to make 2 cups (when doing this i omit the vanilla as i like to taste the sweetness of the ghee).",2
"this recipe has been an easter tradition in my family for many years. i received this from my mom. she can not remember where she got it. i always double the receipe. one batch is not enough for my family. if you like dark chocolate, this works well with semi-sweet and dark chocolate.",4
these golden potatoes are a hit anytime i serve them.,6
a cooking light magazine recipe -- a lighter version of fried shrimp and a delicious dipping sauce to go with it.,1
with less than 10 ingredients you can create this delicious recipe.,4
this delicious apple tart is an easy way to use up your apples. wonderful served warm with ice cream.,5
from the 1953 better homes and gardens new cook book.,0
"this dish, served with a salad, will make a nice quick meal for one or by adding a side dish of vegetables, a light lunch for two. the small salad size shrimp work best for me, but remember that cooking is a creative sport.",7
"another recipe from our handwritten family cookbook--this one is from my great aunt olivia (nicknamed cooter). i never get to make it, since the only person in our house who likes tuna casserole or anything with mushrooms in it is me, but it's delicious.",4
"this is a recipe i used on weight watchers.  it actually tastes really good!
256 calories, 6 grams of fat, 6 grams of fiber",4
"a different kind of potato salad--this one boasts okinawan sweet potatoes (purple flesh), a medley of red, yellow, orange and green bell peppers, and red onions. it's tossed in a tangy honey-mustard dressing right before serving. delicious and nutritious! if you count the time it takes to chill down the potatoes, this salad takes about 1hour and 45 minutes to prepare. or, steam the potatoes a day ahead, and it will only take about 1/2 hour!",7
"a nice spread.  you can easily adjust the heat by varying the amount of cayenne pepper.  it smells wonderful while simmering!  i found this recipe in the sunday paper.  serve warm with pita, naan, tortilla or pita chips!",3
got this from a friend. from the rebar modern food cookbook. muffins have a great texture.,2
this is great for leftover pork or beef roasts!,6
"this is an impressive-looking yet quick recipe. extremely yummie both in its full-fat and low-fat versions. i'll post the full-fat version and incude low-fat suggestions in the description. no matter which version you decide on, i'm sure you'll love it!! great for a romantic dinner or to impress guests. one more thing: if you go for the full-fat version you'll only need tiny portions because it's very heavy.",4
a really simple recipe!,4
"this is unusual and delicious. made it for a special moroccan dinner for my gourmet group.  the colors, the textures and the spices in the dressing make this a unique side dish. i served it with lamb tagine and couscous.",3
"everybody has at least one tuna noodle recipe.  for me tuna noodle is something i do when i want a quick all in one meal.  i needed a quick meal one night but the only pasta i had in the house was orzo.  so, this dish was born.  i tried to reduce the fat as much as possible and to pack in a bunch of veggies without them being overly noticed by the picky eaters.",1
i have fallen in love with this recipe. i can't have it enough. great dish to serve to guests!,4
this is a real simple recipe to make doughnuts. it's an italian doughnut that is a little bigger than a doughnut hole but is thick like a cake doughnut. awesome tasting.,2
these are very tasty burgers.the original recipe came from the kraft website and called for just italian shake n bake and bbq sauce and the cheese.i made it like that the first time and they were pretty good.i made them again with the addition of onion and garlic and they were out of this world.oh i also added an egg because the orignal recipe was a little dry.,3
"yes, silly name!  i ate at a little italian restaurant in the bellagio hotel on one of my many trips to vegas.  it was love at first bite!  i begged and begged the waiter to get me the recipe.  he even brought the chef out.  the chef wrote down the ingredients on a napkin but would not give me amounts nor preparation instructions.  i tweaked and tweaked and this is what i came up with.  funny thing is...i went back to that little restaurant after i came up with this version - ordered theirs again - and mine blew it out of the water!  hope you enjoy as well.  it's delicious!",3
this apple salsa is easy and very refreshing.,3
"this is a fantastic yet unbelievably simple way to serve potatoes, with the onions lending their signature flavour. these potatoes go with anything... period. :)",6
a different way to cook tofu with an exotic taste.  this is a my variation of a recipe i found on allrecipes.com  serve with rice.,1
this cake is so good with a cup of freshly brewed coffee. it tastes like a yeast cake.,2
"this tasty(if unhealthy)recipe is one i've used during stampede breakfasts for years. these are real ""stick to the ribs"" western flap-jacks that will wreck any diet in seconds.
i've always had a large electric or very large gas griddle to use, but one that will cook 4 at a time will do as well.

can be eaten with your hands, but not with syrup!!",6
"this is my adopted recipe feb 2005. i made this and did a few changes, i changed the 1/4 tsp cinnamon to 1 tsp and added 1 tsp vanilla. i like lots of nuts, i used 1 cup.",4
nice warm and easy fennel soup,6
"delicious mild olive flavor, fits into italian or american cooking, and also asian, with just the simple addition, of a little soy sauce and sesame oil, onto each serving",3
"this is adapted from a recipe by martin yan, using ingredients i had on hand. this is great as part of an asian themed meal.",4
this came from a little booklet called ,0
easy and very low fat.,0
"not only do the apricots add a beautiful color to this salad, but they contain nutrients to help hearts and eyes.  to our diets they add vitamin a (a powerful antioxidant) and c, potassium, beta-carotene and that much needed dietary fiber.",7
i found this recipe in the november issue of 'everyday food'.  my dh gave it 2-thumbs-up after the first bite.  i chose not to make the coucous so i added the scallion greens to the recipe (see 'optional' note).  this is the original recipe which serves one but i doubled the ingredients (and used 3 chicken breasts) and it was delicious.,4
side dish or a nice light lunch.,6
"sweating onions is done to accomplish for several purposes. sweating gently cooks the onion to soften its texture, increase its sweetness and to reduce the sulfur content, which gives it a milder taste. sweating onions for dishes, such as risottos, rice pilafs and braised meats is where the flavor begins. the sweat onions give a natural sweetness to dishes. see the instructions below for sweating onions.",3
"chicken, fruit, veggies - good for you and delicious!",1
"all summer i made pesto with recipes from various sources, freezing them in 1/2 cup portions. when guests come by i cut up a baguette and set out a few. this one goes first, never a bit left. from provencal light by martha rose shulman.",4
i received this recipe in an email from the dairy farmers of canada.,4
these are wonderful little cakes to top off a good salad.  they also work well as a side to grilled veggies.  super easy to make!,7
"this is the best! it is courtesy of bobby flay from the food network. this is unbelieveable! careful though, it has some heat to it. just enough if you ask me. this is posted as it was written, but i didn't use as many eggs. this is for 4 servings.",2
"real quick and easy to make!  i got this recipe from an acquaintance at a boardgame night.  the original recipe called for walnuts, but i think pecans are a more complementary flavor.  these cranberry bars are delicious, with a delightful balance of sweet and tart.  don't count on leftovers - these moist squares get gobbled right up!",2
"version 2. from my files. i would do a hot water bath, not parafin to seal..  ""the most common use of elderberries is for jelly-making. their juice produces a clear, ruby-red jewel-like delicacy with a sparkling flavor to match.""",5
this combines 2 of my favourite foods salmon and sweet potato and being diabetic friendly is a big bonus.  from bh&g australian diabetic living.  they suggest serving it with a garden salad or you could stuff into pita bread with salad or put them in a wrap with salad or on bread or roll of choice.,5
"this is a vegetarian recipe i've come up with, simply because i usually don't have the salt pork or hamhock traditionally included on hand. it's still got plenty of flavor!",1
"from pommaire, a chilean restaurant in new york. this is made for grilled beef, but could also be used with chicken.  you can also make a bruschetta by spooning it over grilled bread slices. cook time is standing time for the onions.",1
i make this for picnics.  you don't have to like cauliflower to like it.  it's a great alternative to the same old potato salad.  the dressing is delicious!,7
"from www.topsecretrecipes.com i found this on the top secrets recipe site. i was desperately searching for a well flavored ""oriental"" dressing to make a chinese chicken salad with. i found it! you can use light or nonfat mayonnaise with no problems.",7
"""the valley"" below our town used to house a mushroom farm for many years. we would all assemble on a early saturday morning and go quietly and cultivate these mushrooms. mushrooms are sweet aren't they? i don't mean sweet as in sugary, i mean sweet as in adorable. no matter the mushroom, the size, the build, the color, they are plain cute. which brings up the reason for the thoughtful little name of this homey soup. ""muffy"" is the name we called mushrooms when we picked them. the little button ""muffy"" is a succulent, just swell sorta mushroom. people just don't want to admit it, do they? during the cooling fall when leaves curl and fall, is the best time to pick these little delicacies....as well as using them in this homemade; but easy velvet soup. i do often have dried porcini's in the cupboard, sitting there silently waiting just to be used. i add thinly sliced chicken breast towards the end of cooking time if i am so inclined. sometimes, i would rather just curl up next to dennis on our couch, throw a big piece of wood in the woodstove and watch the fall progress with a sip of soup and ""muffy the mushroom"".",6
"mmmmm! delicious honey bunnies, great for breakfast and snacks. these are lovely little bunnies! from, ""kids' cooking,"" by liz franklin.",2
"a nice summertime full-meal salad.  serves 2 for a main course, or 4 small sides.",7
"a barley salad that can be served cool or warm, however you prefer.  prep time includes time to cook the barley.",7
a really great alternative to the normal pasta or potato salad. this is enough to eat all by itself or as a side dish for bbq.this recipe is easy to play around with so make it to your own taste,7
a roasted version of the cold spanish soup. time does not include chill time.,6
beef fillet in coconut. no time allowed for the beef marinating.,1
"recipe courtesy of treva chadwell and cooking channel. adding beer to this chorizo-and-cheese concoction - the mexican version of fondue with a savory edge - gives it tangy, hoppy flavor that makes it even more perfect for pairing with a good brew. you're in charge of how spicy this warm, cheesy dip will be: leave all, some or none of the seeds in your jalapeno for your choice of hot, medium or mild. original recipe: http://www.cookingchanneltv.com/recipes/beery-chorizo-queso-fundido.html",3
i had this salad in a french bistro recently and i absolutely loved it. i love anything with arugula in it!,7
"i came across this and wowsa, what a great idea!  i  no longer have to search for bacon bits that do not contain natrural flavoring! so easy to make at home.you can add the maple extract or not, it's good both ways.  i used an idea from a reviewer to tweek the recipe just a little. thank you joni marie newman. update: i have added more flavor  by using soy sauce and molasses.",3
from australian bh&g diabetic living.,0
"in the emilia-romagna region of northern italy this dresses an antipasto salad of tart greens, fresh herbs and a pine nuts, all topped with long furls of parmigiano-reggiano cheese and prosciutto di parma. you could use it this way, or over steamed little new potatoes, tossed with arugula, fresh basil, and red onion. if meat is desired, add thin slices of rare roast lamb and you've a wonderful supper. the dressing is excellent over sauteed scallops or shrimps. or just spoon it over a mixed salad of curly endive and other assertive greens like the organic salad mixes so popular now. it will overwhelm very delicate ones. remember if dressing is too acid, simply simmer a little longer. brands of balsamic to look for are cavalli, giusti, mama balducci, noe, or even fini. cook time is an estimate.",7
this is absoloutly delicious! i found this recipe from whole foods market.,4
"good on chicken or pork.  not recommend for fish or seafood, as the long marinating time will ""cook"" the fish and make it tough. because of the sugar and honey in this, it will burn easily if not watched on the grill (thanks for that info, diner :) ).  if you can't find rice wine, use sherry, but not rice vinegar.",1
"i want to try this. it looks like an umami explosion. pass the parm.
this recipe makes enough sauce to coat 2 pounds of pasta. leftover sauce may be refrigerated for up to three days or frozen for up to one month. eight teaspoons of gelatin is equivalent to one (1-ounce) box of gelatin. if you can’t find ground veal, use an additional ¾ pound of ground beef.

source: america's test kitchen season 13: ultimate italian",3
"try this savory twist on shirred eggs with crisply toasted english muffins or toast.  from the western chapter of the united states regional cookbook, culinary arts institute of chicago, 1947.",2
"i have been going through all of my toh magazines pulling out the recipes i had marked to try.  this recipe is so versatile and can be made ahead and frozen, then just take out of bake.  can replace swiss cheese with another cheese (i like cheddar also) and could use bacon or sausage for the the ham.  in first step, melt butter, could add in minced onion/shallot/garlic or red/green bell pepper to soften and then continue with recipe.  also could use light for reduced fat butter and cheeses, egg substitute and skim milk to reduce the calories.  have fun with the recipe and make it fit your family preferences!!!
update 7/31/11 - i made these this morning as written except subbing cheddar cheese for the swiss and i added some sliced green onion.  what a great breakfast or brunch recipe, as they can be made ahead, frozen and then baked on the day you want to serve it.",6
"this is a wonderful-tasting recipe for stuffed chicken breast, careful not to over cook as they will become dry.",1
"from the disaronno website,this one takes a different twist on the traditional espresso martini!
http://www.disaronno.com/home.aspx",5
delicious after dinner with coffee.,6
"modern food fashion leans toward fresh, clean tastes which do not obscure the main ingredients. with this in mind i created this dressing. i especially did not want to add mayonnaise. an avo dressing can never be thin, but this one is ""thinner"" than most. it has a very clean and pure avo taste. it's excellent with salads, marvellous with fresh fried fish fillets, as well as with many other simple foods such as potato or fish cakes. do not use those watery avo's: go for a large, perfectly-ripe creamy avo. we have plenty to choose from at the moment, so remember this recipe when your avo season rolls round!",7
"this recipe is from the cookbook ""how it all vegan"".",4
"this is a recipe from mme. jehane benoit, a classic canadian cookbook author, who says ",4
"a friend shared this recipe with me, i don't know the origin of it, but its a good one.",4
from my friend joellen,0
"stewed eggplant doesn't sound exciting to you? think that eggplant is only for vegetarians? or just plain have no idea what to do with eggplant other than eggplant pamesean? well, this delightful and simple japanese eggplant dish will change your mind--and your palate-about eggplant. no one i have ever served this to has ever said anything but, ""delicious"" or ""amazing"" or ""how on earth did you make this? i love it!""

asian eggplants are more tender and delicately falvored than the standard variety--but you can use either kind with excellent results. 

katsuo-bushi--dried bonito flakes--are a common condiment in japanese cooking. they come in packages of five packets. next time you are at an asian grocers, pick up a package. you can use katsuo-bushi in miso soup, and, together with grater gingerroot and soy sauce, as a lovely topping for cold tofu (this is way yummier than it sounds).",3
"follow the basic recipe then skip down to the various seasoning options to mix-n-match what goes with your salad, soup or meal.  life never has to be boring again!",7
"i received this yummy jam in a newsletter from the ball canning website.
project supplies you will need: strainer, ladle, funnel and 5 plastic (8 oz) freezer jars",5
from : http://www.girlgonecountry.com/recipes-2/best-paleo-pancakes/,2
toh strikes again!!!,0
"one of my favorite things in the summer.  it's like a meal and dessert in one.  the combination of jalapeno peppers and fruit isn't for everyone, but if you're the adventurous type, then this might just be the recipe for you.",3
my variation on a recipe in the holly clegg trim and terrific cookbook.  feel free to substitute vegetables.,4
"this recipe has been submitted for play in zwt8 - india. this recipe was found on indian food forever.

i love cardamom cookies and this recipe sounds pretty wonderful to me.

i hope that you will also enjoy this treat.

i'm sorry i have no idea how many cookies this recipe will make.",2
"this is a little different to the other orange butter recipes here as it uses less butter and also uses custard powder to help thicken, it's not really thick like a butter but more like a spread. it's really economical & quick to make not to mention tastes great.",2
these sound good. the recipe is from family circle.,4
quick and easy!snowpeas fresh picked yum!,5
